,City Name,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County
10,Alexandria,333,40.7,56368,48.9,51.1,24182,127175," [(['White alone'], ['337']), (['Hispanic'], ['5']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Asian alone'], ['1'])] ",Huntingdon-County
11,Aliquippa,9244,42.2,34487,44.2,55.8,20991,72468," [(['White alone'], ['5,338']), (['Black alone'], ['3,461']), (['Hispanic'], ['267']), (['Two or more races'], ['112']), (['Asian alone'], ['41']), (['American Indian alone'], ['7'])] ",Beaver-County
12,Alleghenyville,1134,47.4,59286,50.3,49.7,29321,174800," [(['White alone'], ['1,097']), (['Hispanic'], ['18']), (['Asian alone'], ['11']), (['Black alone'], ['5']), (['Two or more races'], ['3'])] ",Berks-County
13,Allenport,530,46.6,56200,46.7,53.3,28499,96832," [(['White alone'], ['531']), (['Black alone'], ['3']), (['Two or more races'], ['2']), (['Hispanic'], ['1'])] ",Washington-County
14,Allensville,503,32.7,43559,55.6,44.4,22481,103505," [(['White alone'], ['496']), (['Black alone'], ['4']), (['Two or more races'], ['3'])] ",Mifflin-County
15,Allentown,120440,30.5,35813,48.1,51.9,18507,121800," [(['White alone'], ['50,964']), (['Hispanic'], ['50,461']), (['Black alone'], ['11,336']), (['Asian alone'], ['2,452']), (['Two or more races'], ['2,384']), (['American Indian alone'], ['200']), (['Other race alone'], ['224']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['11'])]",Lehigh-County
16,Allenwood,321,37.7,53231,43.1,56.9,24194,171193," [(['White alone'], ['302']), (['Black alone'], ['14']), (['Hispanic'], ['4']), (['Asian alone'], ['1'])] ",Union-County
17,Allison Park,21552,45.1,56140,48.8,51.2,34440,147100," [(['White alone'], ['19,330']), (['Asian alone'], ['1,021']), (['Black alone'], ['448']), (['Hispanic'], ['352']), (['Two or more races'], ['242']), (['American Indian alone'], ['3'])] ",Allegheny-County
18,Allison,625,47.4,43140,50.6,49.4,24029,101700," [(['White alone'], ['555']), (['Black alone'], ['52']), (['Two or more races'], ['13']), (['Asian alone'], ['3']), (['American Indian alone'], ['1']), (['Hispanic'], ['1'])] ",Fayette-County
19,Allport,264,39.8,47352,55.9,44.1,22804,94100," [(['White alone'], ['260']), (['Hispanic'], ['3']), (['Black alone'], ['1'])] ",Clearfield-County
20,Almedia,1078,57.7,41869,51.1,48.9,26993,147685," [(['White alone'], ['1,049']), (['Two or more races'], ['10']), (['Black alone'], ['8']), (['Asian alone'], ['6']), (['Hispanic'], ['4']), (['Other race alone'], ['1'])] ",Columbia-County
21,Alsace Manor,478,54.1,59286,45.1,54.9,29321,174800," [(['White alone'], ['470']), (['Two or more races'], ['3']), (['Hispanic'], ['3']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Berks-County
22,Altamont,602,48.6,52081,55.7,44.3,27984,78429," [(['White alone'], ['592']), (['Hispanic'], ['8']), (['Black alone'], ['1']), (['Asian alone'], ['1'])] ",Schuylkill-County
23,Altoona,45558,38.9,36249,49.9,50.1,21279,86993," [(['White alone'], ['41,501']), (['Black alone'], ['1,314']), (['Two or more races'], ['1,167']), (['Hispanic'], ['788']), (['Asian alone'], ['166']), (['American Indian alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['6']), (['Other race alone'], ['6'])]",Blair-County
24,Ambler,6506,35.0,58754,46.6,53.4,33938,276729," [(['White alone'], ['4,657']), (['Black alone'], ['813']), (['Hispanic'], ['504']), (['Asian alone'], ['240']), (['Two or more races'], ['185']), (['Other race alone'], ['13']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3']), (['American Indian alone'], ['2'])]",Montgomery-County
25,Ambridge,6895,40.0,35927,46.3,53.7,21229,73579," [(['White alone'], ['4,869']), (['Black alone'], ['1,319']), (['Two or more races'], ['470']), (['Hispanic'], ['163']), (['Asian alone'], ['40']), (['American Indian alone'], ['23']), (['Other race alone'], ['15'])] ",Beaver-County
26,Amity Gardens,3402,43.8,71012,48.1,51.9,36953,226619," [(['White alone'], ['3,114']), (['Hispanic'], ['98']), (['Black alone'], ['95']), (['Two or more races'], ['49']), (['Asian alone'], ['43']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Berks-County
27,Ancient Oaks,6661,39.6,97865,50.4,49.6,47694,281091," [(['White alone'], ['5,535']), (['Asian alone'], ['538']), (['Hispanic'], ['319']), (['Black alone'], ['164']), (['Two or more races'], ['94']), (['Other race alone'], ['10']), (['American Indian alone'], ['1'])] ",Lehigh-County
28,Annville,4767,22.7,45307,53.0,47.0,17807,139991," [(['White alone'], ['4,173']), (['Hispanic'], ['353']), (['Asian alone'], ['135']), (['Two or more races'], ['122']), (['Black alone'], ['56']), (['American Indian alone'], ['11'])] ",Lebanon-County
29,Apollo,1607,39.9,36755,49.2,50.8,18395,63197," [(['White alone'], ['1,545']), (['Black alone'], ['38']), (['Two or more races'], ['36']), (['Hispanic'], ['14']), (['Asian alone'], ['9']), (['American Indian alone'], ['4']), (['Other race alone'], ['1'])] ",Armstrong-County
30,Applewold,300,36.8,47136,51.6,48.4,22869,84922," [(['White alone'], ['302']), (['Two or more races'], ['4']), (['Hispanic'], ['3']), (['Black alone'], ['1'])] ",Armstrong-County
31,Arcadia University,595,19.7,84113,26.9,73.1,43842,307500," [(['White alone'], ['478']), (['Black alone'], ['44']), (['Hispanic'], ['43']), (['Asian alone'], ['21']), (['Two or more races'], ['6']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1']), (['Other race alone'], ['1'])]",Montgomery-County
32,Archbald,7075,42.3,50542,45.3,54.7,28504,144457," [(['White alone'], ['6,716']), (['Black alone'], ['75']), (['Hispanic'], ['77']), (['Asian alone'], ['51']), (['Two or more races'], ['51']), (['American Indian alone'], ['12']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Lackawanna-County
33,Ardmore,12455,39.9,82802,47.3,52.7,52326,324037," [(['White alone'], ['9,102']), (['Black alone'], ['1,512']), (['Hispanic'], ['992']), (['Asian alone'], ['624']), (['Two or more races'], ['357']), (['Other race alone'], ['65']), (['American Indian alone'], ['6'])] ",Montgomery-County
34,Arendtsville,954,34.1,56018,48.9,51.1,23856,184065," [(['White alone'], ['742']), (['Hispanic'], ['156']), (['Black alone'], ['27']), (['Two or more races'], ['17']), (['American Indian alone'], ['5']), (['Asian alone'], ['5'])] ",Adams-County
35,Aristes,311,50.7,47687,48.1,51.9,25322,76954,*,Columbia-County
36,Arlington Heights,6333,43.3,55515,46.1,53.9,30305,167184," [(['White alone'], ['3,516']), (['Black alone'], ['597']), (['Hispanic'], ['509']), (['Asian alone'], ['498']), (['Two or more races'], ['253']), (['American Indian alone'], ['6'])] ",Monroe-County
37,Arnold City,498,58.4,43140,43.8,56.2,24029,101700," [(['White alone'], ['409']), (['Black alone'], ['46']), (['Two or more races'], ['30']), (['Hispanic'], ['8']), (['Other race alone'], ['4']), (['Asian alone'], ['1'])] ",Fayette-County
38,Arnold,5022,41.4,26819,42.7,57.3,17529,62180," [(['White alone'], ['3,765']), (['Black alone'], ['1,017']), (['Two or more races'], ['226']), (['Hispanic'], ['119']), (['Other race alone'], ['13']), (['Asian alone'], ['12']), (['American Indian alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Westmoreland-County
39,Arnot,332,45.3,50225,54.5,45.5,25553,134857,*,Tioga-County
40,Arona,356,46.5,40160,53.4,46.6,20222,87627,*,Westmoreland-County
41,Ashland,2757,47.2,37369,48.9,51.1,22731,59667," [(['White alone'], ['2,748']), (['Two or more races'], ['27']), (['Hispanic'], ['29']), (['Asian alone'], ['8']), (['Black alone'], ['4']), (['American Indian alone'], ['1'])] ",Schuylkill-County
42,Ashley,2741,43.0,41108,51.2,48.8,24135,74540," [(['White alone'], ['2,620']), (['Hispanic'], ['67']), (['Black alone'], ['59']), (['Two or more races'], ['33']), (['Asian alone'], ['8']), (['Other race alone'], ['2']), (['American Indian alone'], ['1'])] ",Luzerne-County
43,Ashville,221,37.6,41585,45.8,54.2,23734,88741," [(['White alone'], ['221']), (['Black alone'], ['2']), (['Hispanic'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Two or more races'], ['1'])]",Cambria-County
44,Aspers,350,36.9,59300,56.2,43.8,28404,206900," [(['White alone'], ['257']), (['Hispanic'], ['89']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Other race alone'], ['1'])] ",Adams-County
45,Aspinwall,2779,37.7,68276,46.0,54.0,47738,282927," [(['White alone'], ['2,524']), (['Asian alone'], ['151']), (['Hispanic'], ['52']), (['Black alone'], ['38']), (['Two or more races'], ['35']), (['American Indian alone'], ['1'])] ",Allegheny-County
46,Atglen,1410,29.9,60446,52.5,47.5,27258,235196," [(['White alone'], ['1,203']), (['Black alone'], ['97']), (['Hispanic'], ['82']), (['Two or more races'], ['17']), (['Asian alone'], ['3']), (['American Indian alone'], ['2']), (['Other race alone'], ['2'])] ",Chester-County
47,Athens,3287,41.9,42070,44.6,55.4,30613,140464," [(['White alone'], ['3,245']), (['Hispanic'], ['46']), (['Two or more races'], ['34']), (['Black alone'], ['23']), (['Asian alone'], ['16']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Bradford-County
48,Atlasburg,401,34.4,57998,69.2,30.8,32270,167100," [(['White alone'], ['397']), (['Two or more races'], ['2']), (['Hispanic'], ['2'])] ",Washington-County
49,Atlas,809,57.5,47736,51.1,48.9,25018,118700," [(['White alone'], ['786']), (['Black alone'], ['10']), (['Hispanic'], ['9']), (['Two or more races'], ['4'])] ",Northumberland-County
50,Auburn,724,41.4,49123,51.1,48.9,23165,87143," [(['White alone'], ['722']), (['Hispanic'], ['10']), (['Two or more races'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['2'])] ",Schuylkill-County
51,Audubon,8433,36.2,85676,49.8,50.2,44242,351772," [(['White alone'], ['6,590']), (['Asian alone'], ['1,120']), (['Black alone'], ['423']), (['Hispanic'], ['195']), (['Two or more races'], ['94']), (['Other race alone'], ['7']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2'])]",Montgomery-County
52,Austin,554,40.2,39955,50.0,50.0,28375,61771,*,Potter-County
53,Avalon,4667,44.2,40849,43.3,56.7,27481,103758," [(['White alone'], ['3,880']), (['Black alone'], ['469']), (['Two or more races'], ['189']), (['Asian alone'], ['46']), (['Hispanic'], ['42']), (['Other race alone'], ['15']), (['American Indian alone'], ['6'])] ",Allegheny-County
54,Avella,804,40.3,57998,52.2,47.8,32270,167100," [(['White alone'], ['769']), (['Black alone'], ['15']), (['Two or more races'], ['9']), (['Hispanic'], ['8']), (['American Indian alone'], ['2']), (['Asian alone'], ['1'])] ",Washington-County
55,Avis,1515,38.6,52246,48.2,51.8,24932,109215," [(['White alone'], ['1,458']), (['Two or more races'], ['7']), (['Hispanic'], ['8']), (['Black alone'], ['6']), (['Asian alone'], ['4']), (['Other race alone'], ['1'])] ",Clinton-County
56,Avoca,2652,43.8,50971,48.5,51.5,25308,107113," [(['White alone'], ['2,579']), (['Hispanic'], ['47']), (['Black alone'], ['14']), (['Two or more races'], ['11']), (['Asian alone'], ['9']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Luzerne-County
57,Avondale,1402,29.3,75662,53.0,47.0,23925,241079," [(['Hispanic'], ['746']), (['White alone'], ['388']), (['Black alone'], ['104']), (['Two or more races'], ['15']), (['Asian alone'], ['10']), (['American Indian alone'], ['2'])] ",Chester-County
58,Avonia,1205,51.3,77909,52.6,47.4,41964,184214," [(['White alone'], ['1,178']), (['Hispanic'], ['10']), (['Two or more races'], ['9']), (['Asian alone'], ['7']), (['Black alone'], ['1'])] ",Erie-County
59,Avonmore,988,41.9,42724,46.7,53.3,24715,78364," [(['White alone'], ['980']), (['Black alone'], ['14']), (['Two or more races'], ['7']), (['Hispanic'], ['5']), (['Other race alone'], ['4']), (['Asian alone'], ['1'])] ",Westmoreland-County
60,Avon,1667,42.3,53300,43.7,56.3,25798,150107," [(['White alone'], ['1,497']), (['Hispanic'], ['126']), (['Black alone'], ['18']), (['Two or more races'], ['14']), (['Asian alone'], ['9']), (['Other race alone'], ['3'])] ",Lebanon-County
61,Back Mountain,26134,40.1,67996,51.7,48.3,34088,175420," [(['White alone'], ['25,012']), (['Black alone'], ['1,133']), (['Hispanic'], ['281']), (['Asian alone'], ['136']), (['Two or more races'], ['89']), (['American Indian alone'], ['24']), (['Other race alone'], ['11']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['4'])]",Luzerne-County
62,Baden,4056,50.6,42959,46.6,53.4,30828,110147," [(['White alone'], ['3,980']), (['Black alone'], ['63']), (['Two or more races'], ['38']), (['Hispanic'], ['38']), (['Asian alone'], ['13']), (['American Indian alone'], ['3'])] ",Beaver-County
63,Baidland,1563,51.5,57394,54.2,45.8,31290,172991," [(['White alone'], ['1,522']), (['Hispanic'], ['25']), (['Black alone'], ['7']), (['Two or more races'], ['6']), (['Asian alone'], ['2']), (['American Indian alone'], ['1'])] ",Washington-County
64,Baileyville,201,56.4,60266,38.7,61.3,31158,224400," [(['White alone'], ['189']), (['American Indian alone'], ['3']), (['Other race alone'], ['3']), (['Hispanic'], ['3']), (['Two or more races'], ['2']), (['Asian alone'], ['1'])] ",Centre-County
65,Bainbridge,1355,36.9,61335,48.2,51.8,29740,196400," [(['White alone'], ['1,301']), (['Hispanic'], ['22']), (['Black alone'], ['14']), (['Two or more races'], ['11']), (['American Indian alone'], ['3']), (['Asian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Lancaster-County
66,Bairdford,698,45.9,56140,42.2,57.8,34440,147100," [(['White alone'], ['684']), (['Hispanic'], ['8']), (['Black alone'], ['3']), (['Two or more races'], ['3'])] ",Allegheny-County
67,Bakerstown,1761,44.2,56140,53.9,46.1,34440,147100," [(['White alone'], ['1,688']), (['Hispanic'], ['31']), (['Asian alone'], ['17']), (['Black alone'], ['11']), (['Two or more races'], ['8']), (['American Indian alone'], ['6'])] ",Allegheny-County
68,Baldwin,19740,42.1,57396,48.2,51.8,29231,131996," [(['White alone'], ['17,349']), (['Black alone'], ['1,281']), (['Asian alone'], ['495']), (['Hispanic'], ['290']), (['Two or more races'], ['183']), (['Other race alone'], ['28']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['9']), (['American Indian alone'], ['3'])]",Allegheny-County
69,Bally,1099,41.8,64991,51.4,48.6,29267,176662," [(['White alone'], ['1,055']), (['Hispanic'], ['15']), (['Two or more races'], ['8']), (['Black alone'], ['6']), (['Asian alone'], ['6'])] ",Berks-County
70,Bangor,5233,34.9,45128,52.4,47.6,20697,157019," [(['White alone'], ['4,855']), (['Hispanic'], ['262']), (['Two or more races'], ['77']), (['Black alone'], ['61']), (['Asian alone'], ['9']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['Other race alone'], ['2'])]",Northampton-County
71,Barkeyville,205,43.0,52265,42.0,58.0,31391,83053," [(['White alone'], ['190']), (['Hispanic'], ['11']), (['Two or more races'], ['5']), (['Asian alone'], ['1'])] ",Venango-County
72,Bath,2680,34.6,47355,46.9,53.1,25062,162477," [(['White alone'], ['2,394']), (['Hispanic'], ['177']), (['Black alone'], ['58']), (['Two or more races'], ['34']), (['Asian alone'], ['26']), (['American Indian alone'], ['4'])] ",Northampton-County
73,Baumstown,422,34.8,59286,54.6,45.4,29321,174800," [(['White alone'], ['397']), (['Black alone'], ['15']), (['Hispanic'], ['6']), (['Asian alone'], ['3']), (['Two or more races'], ['1'])] ",Berks-County
74,Beallsville,453,42.0,59854,47.1,52.9,30127,111936," [(['White alone'], ['454']), (['Asian alone'], ['3']), (['Two or more races'], ['3']), (['Hispanic'], ['3']), (['Black alone'], ['2']), (['American Indian alone'], ['1'])] ",Washington-County
75,Bear Creek Village,256,43.2,123341,51.6,48.4,58977,345220," [(['White alone'], ['253']), (['American Indian alone'], ['2']), (['Asian alone'], ['1']), (['Two or more races'], ['1'])] ",Luzerne-County
76,Bear Rocks,1048,52.9,43140,49.7,50.3,24029,101700," [(['White alone'], ['1,031']), (['Two or more races'], ['6']), (['Hispanic'], ['5']), (['American Indian alone'], ['3']), (['Asian alone'], ['3'])] ",Fayette-County
77,Beaver Falls,8740,32.8,32324,47.0,53.0,21248,67022," [(['White alone'], ['6,712']), (['Black alone'], ['1,725']), (['Two or more races'], ['373']), (['Hispanic'], ['105']), (['Asian alone'], ['37']), (['Other race alone'], ['23']), (['American Indian alone'], ['11']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Beaver-County
78,Beaver Meadows,850,48.9,38099,54.0,46.0,23142,80075," [(['White alone'], ['828']), (['Hispanic'], ['23']), (['Two or more races'], ['11']), (['Black alone'], ['4']), (['Asian alone'], ['2']), (['American Indian alone'], ['1'])] ",Carbon-County
79,Beaver Springs,674,41.4,35959,42.9,57.1,20045,110668," [(['White alone'], ['665']), (['Two or more races'], ['4']), (['Other race alone'], ['2']), (['Black alone'], ['1']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Snyder-County
80,Beaverdale-Lloydell,1171,36.9,37080,46.6,53.4,20593,55523," [(['White alone'], ['1,221']), (['Two or more races'], ['5']), (['Black alone'], ['2']), (['American Indian alone'], ['1']), (['Hispanic'], ['1'])] ",Cambria-County
81,Beaverdale,1035,31.9,44100,48.5,51.5,24592,93400," [(['White alone'], ['1,028']), (['Two or more races'], ['6']), (['Hispanic'], ['1'])] ",Cambria-County
82,Beavertown,973,36.9,49519,55.2,44.8,22517,103401," [(['White alone'], ['946']), (['Two or more races'], ['9']), (['Hispanic'], ['6']), (['Black alone'], ['2']), (['Asian alone'], ['2'])] ",Snyder-County
83,Beaver,4440,47.4,54448,45.8,54.2,34298,186616," [(['White alone'], ['4,292']), (['Hispanic'], ['76']), (['Black alone'], ['60']), (['Two or more races'], ['52']), (['Asian alone'], ['40']), (['Other race alone'], ['8']), (['American Indian alone'], ['3'])] ",Beaver-County
84,Bechtelsville,940,42.3,64558,52.4,47.6,30928,172835," [(['White alone'], ['919']), (['Hispanic'], ['12']), (['Two or more races'], ['8']), (['Black alone'], ['1']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Berks-County
85,Bedford,2768,48.2,40455,45.5,54.5,27963,153025," [(['White alone'], ['2,699']), (['Hispanic'], ['57']), (['Black alone'], ['33']), (['Two or more races'], ['34']), (['Asian alone'], ['15']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Bedford-County
86,Beech Creek,703,43.5,50138,49.6,50.4,23086,113471," [(['White alone'], ['692']), (['Hispanic'], ['4']), (['Two or more races'], ['3']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Clinton-County
87,Beech Mountain Lakes,2022,51.0,46580,49.1,50.9,26893,123400," [(['White alone'], ['1,865']), (['Hispanic'], ['71']), (['Black alone'], ['37']), (['Two or more races'], ['24']), (['Asian alone'], ['19']), (['Other race alone'], ['4']), (['American Indian alone'], ['2'])] ",Luzerne-County
88,Belfast,1257,49.8,54399,50.4,49.6,34275,219050," [(['White alone'], ['1,192']), (['Hispanic'], ['34']), (['Black alone'], ['10']), (['Asian alone'], ['10']), (['Two or more races'], ['10']), (['American Indian alone'], ['1'])] ",Northampton-County
89,Bell Acres,1401,46.6,95103,51.2,48.8,54748,289165," [(['White alone'], ['1,292']), (['Black alone'], ['37']), (['Two or more races'], ['20']), (['Asian alone'], ['18']), (['Hispanic'], ['18']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['American Indian alone'], ['1'])]",Allegheny-County
90,Belle Vernon,1073,46.8,27666,47.5,52.5,19963,88766," [(['White alone'], ['1,018']), (['Black alone'], ['38']), (['Hispanic'], ['18']), (['Two or more races'], ['11']), (['Asian alone'], ['5']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Fayette-County
91,Bellefonte,6227,42.0,56571,48.8,51.2,31247,189215," [(['White alone'], ['5,959']), (['Black alone'], ['146']), (['Hispanic'], ['51']), (['American Indian alone'], ['34']), (['Asian alone'], ['16']), (['Two or more races'], ['19'])] ",Centre-County
92,Belleville,1827,56.6,39699,47.1,52.9,25330,108696," [(['White alone'], ['1,786']), (['Hispanic'], ['30']), (['Two or more races'], ['8']), (['American Indian alone'], ['2']), (['Black alone'], ['1'])] ",Mifflin-County
93,Bellevue,8300,38.2,42420,47.3,52.7,28492,115469," [(['White alone'], ['7,029']), (['Black alone'], ['827']), (['Two or more races'], ['194']), (['Asian alone'], ['65']), (['Hispanic'], ['63']), (['Other race alone'], ['43']), (['American Indian alone'], ['6'])] ",Allegheny-County
94,Bellwood,1794,36.5,46124,49.6,50.4,22646,103291," [(['White alone'], ['1,786']), (['Hispanic'], ['18']), (['Two or more races'], ['14']), (['Black alone'], ['5']), (['American Indian alone'], ['3']), (['Asian alone'], ['2'])] ",Blair-County
95,Belmont,2784,56.7,40105,41.9,58.1,27674,121356," [(['White alone'], ['2,672']), (['Black alone'], ['30']), (['Asian alone'], ['31']), (['Two or more races'], ['27']), (['Hispanic'], ['23']), (['Other race alone'], ['1'])] ",Cambria-County
96,Ben Avon Heights,372,45.7,153629,49.6,50.4,75235,349472," [(['White alone'], ['360']), (['Two or more races'], ['6']), (['Hispanic'], ['3']), (['Black alone'], ['1']), (['Asian alone'], ['1'])] ",Allegheny-County
97,Ben Avon,1786,39.8,94243,46.0,54.0,50845,228202," [(['White alone'], ['1,656']), (['Black alone'], ['65']), (['Two or more races'], ['24']), (['Hispanic'], ['19']), (['Asian alone'], ['15']), (['Other race alone'], ['2'])] ",Allegheny-County
98,Bendersville Station-Aspers,358,32.6,61332,49.1,50.9,25719,158907," [(['White alone'], ['230']), (['Hispanic'], ['77']), (['Black alone'], ['14']), (['Other race alone'], ['3'])] ",Adams-County
99,Bendersville,641,34.0,55260,47.6,52.4,20723,177479," [(['White alone'], ['486']), (['Hispanic'], ['135']), (['Two or more races'], ['10']), (['American Indian alone'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['3'])] ",Adams-County
100,Bentleyville,2531,42.0,40473,50.8,49.2,21617,113971," [(['White alone'], ['2,446']), (['Black alone'], ['68']), (['Two or more races'], ['40']), (['Hispanic'], ['19']), (['Asian alone'], ['6']), (['Other race alone'], ['2'])] ",Washington-County
101,Benton,831,35.0,44959,48.3,51.7,19872,106719," [(['White alone'], ['805']), (['Hispanic'], ['12']), (['Two or more races'], ['3']), (['Black alone'], ['2']), (['Asian alone'], ['2'])] ",Columbia-County
102,Berlin,2039,49.9,42685,45.8,54.2,21984,102220," [(['White alone'], ['2,066']), (['Two or more races'], ['17']), (['Asian alone'], ['7']), (['Black alone'], ['4']), (['Hispanic'], ['5']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Somerset-County
103,Bernville,951,39.8,54757,47.7,52.3,26261,160837," [(['White alone'], ['855']), (['Hispanic'], ['73']), (['Black alone'], ['10']), (['Two or more races'], ['10']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['Asian alone'], ['1']), (['Other race alone'], ['1'])]",Berks-County
104,Berrysburg,370,43.6,56999,53.3,46.7,27703,112672,*,Dauphin-County
105,Berwick,10316,39.5,40278,49.4,50.6,21702,101637," [(['White alone'], ['9,702']), (['Hispanic'], ['386']), (['Black alone'], ['144']), (['Two or more races'], ['146']), (['Asian alone'], ['81']), (['Other race alone'], ['10']), (['American Indian alone'], ['8'])] ",Columbia-County
106,Berwyn,3631,44.9,92407,47.0,53.0,46699,347700," [(['White alone'], ['3,176']), (['Black alone'], ['167']), (['Asian alone'], ['148']), (['Hispanic'], ['84']), (['Two or more races'], ['45']), (['American Indian alone'], ['8']), (['Other race alone'], ['3'])] ",Chester-County
107,Bessemer,1081,41.7,44620,51.3,48.7,23946,95757," [(['White alone'], ['1,085']), (['Two or more races'], ['14']), (['Hispanic'], ['7']), (['Asian alone'], ['4']), (['Black alone'], ['1'])] ",Lawrence-County
108,Bethany,236,42.9,52696,51.5,48.5,33194,181679," [(['White alone'], ['238']), (['Black alone'], ['4']), (['Hispanic'], ['4'])] ",Wayne-County
109,Bethel Park,32257,45.9,74447,47.9,52.1,37687,182452," [(['White alone'], ['29,998']), (['Two or more races'], ['653']), (['Asian alone'], ['529']), (['Black alone'], ['386']), (['Hispanic'], ['341']), (['American Indian alone'], ['49']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['31']), (['Other race alone'], ['45'])]",Allegheny-County
110,Bethel,499,24.5,59286,51.8,48.2,29321,174800," [(['White alone'], ['454']), (['Hispanic'], ['31']), (['Asian alone'], ['9']), (['Two or more races'], ['3']), (['Black alone'], ['1']), (['Other race alone'], ['1'])] ",Berks-County
