,County,Doctorate M,Professional M,Masters M,Bachelor M,Associate M,Some College M,High School M,Some HS M,Less than HS M,None M
41,Crawford-County,0.897%,1.417%,4.954%,11.605%,6.385%,15.459%,46.191%,8.487%,3.812%,0.792%
42,Delaware-County,2.582%,3.555%,9.499%,21.442%,6.307%,16.954%,31.426%,5.702%,1.545%,0.986%
43,Bedford-County,0.617%,1.546%,3.189%,7.999%,6.898%,12.561%,53.498%,9.978%,2.486%,1.228%
44,Dauphin-County,1.746%,3.299%,6.922%,18.052%,7.788%,17.470%,33.255%,7.777%,2.506%,1.185%
45,Armstrong-County,0.624%,0.776%,3.204%,9.790%,8.630%,15.109%,50.780%,8.064%,2.188%,0.834%
46,Indiana-County,2.365%,1.008%,5.637%,11.521%,8.422%,14.451%,45.488%,6.875%,3.419%,0.813%
47,Columbia-County,1.460%,1.612%,4.992%,12.672%,7.320%,15.796%,43.842%,9.505%,2.271%,0.531%
48,Lycoming-County,0.763%,1.868%,4.737%,13.498%,9.583%,18.030%,39.771%,9.220%,1.787%,0.742%
49,Lebanon-County,0.872%,1.871%,4.846%,12.215%,5.939%,15.892%,43.649%,9.378%,3.974%,1.365%
50,Mercer-County,1.238%,1.686%,4.688%,13.829%,7.276%,15.502%,44.640%,7.567%,2.664%,0.910%
51,Schuylkill-County,0.623%,1.133%,3.305%,9.032%,7.729%,15.817%,49.847%,9.398%,2.127%,0.989%
52,Washington-County,1.041%,1.827%,6.688%,19.399%,8.484%,15.716%,38.305%,5.696%,1.719%,1.126%
53,Jefferson-County,0.564%,1.051%,3.296%,9.324%,8.935%,12.542%,52.654%,7.416%,3.653%,0.564%
54,Somerset-County,0.478%,1.246%,2.903%,9.681%,7.045%,13.659%,51.219%,8.383%,3.633%,1.752%
55,Tioga-County,1.090%,1.283%,4.510%,11.193%,6.903%,16.614%,45.759%,9.138%,2.600%,0.910%
56,Westmoreland-County,1.372%,1.769%,6.914%,17.207%,9.824%,16.812%,38.929%,5.099%,1.447%,0.628%
57,Potter-County,0.296%,0.837%,4.745%,8.915%,6.978%,15.630%,49.187%,9.539%,2.758%,1.116%
58,Union-County,2.869%,1.628%,4.416%,10.547%,5.380%,17.215%,41.646%,10.282%,4.168%,1.847%
59,McKean-County,0.753%,1.123%,3.706%,10.560%,7.133%,16.285%,49.679%,8.412%,1.389%,0.961%
60,Venango-County,0.360%,1.091%,3.562%,10.622%,7.775%,14.378%,51.096%,7.506%,2.466%,1.144%
61,Adams-County,1.383%,1.526%,6.522%,11.867%,7.427%,15.425%,42.577%,8.606%,3.648%,1.019%
62,Bucks-County,2.175%,2.747%,10.419%,24.013%,6.606%,17.313%,30.071%,4.781%,1.354%,0.521%
63,Bradford-County,0.685%,1.262%,3.504%,10.301%,7.974%,13.570%,50.129%,9.447%,2.284%,0.844%
64,Philadelphia-County,1.641%,2.675%,6.004%,15.799%,4.487%,16.447%,34.741%,12.017%,4.141%,2.048%
65,Mifflin-County,0.331%,0.790%,2.706%,8.463%,5.642%,13.322%,51.251%,10.304%,6.107%,1.083%
66,Susquehanna-County,1.047%,0.487%,4.122%,9.673%,7.421%,16.132%,48.225%,9.719%,2.463%,0.711%
