,City,Population,Age,Average Income,Percent of Men in City,Percent of Women in City,Per Capita Income,Median House Value,Racial Breakdown,County,Higher Degree,H.S Diploma,No H.S Diploma,ZipCode,Lat,Long
11,Mingoville,503,39.2,60266,58.4,41.6,31158,224400," [(['White alone'], ['498']), (['Hispanic'], ['3']), (['Asian alone'], ['1']), (['Two or more races'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16856,40.93,-77.74
12,Moshannon,281,49.5,60266,49.6,50.4,31158,224400," [(['White alone'], ['280']), (['Asian alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16859,41.02,-78.04
13,Philipsburg,2707,44.9,40309,46.7,53.3,26753,106971," [(['White alone'], ['2,689']), (['Two or more races'], ['27']), (['Asian alone'], ['20']), (['Hispanic'], ['18']), (['Black alone'], ['9']), (['American Indian alone'], ['6']), (['Other race alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16866,40.89,-78.21
14,Pine Grove Mills,1502,51.8,81063,44.2,55.8,37191,225925," [(['White alone'], ['1,388']), (['Hispanic'], ['32']), (['Asian alone'], ['30']), (['Black alone'], ['26']), (['Two or more races'], ['23']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16868,40.73,-77.87
15,Port Matilda,596,39.0,56769,46.0,54.0,29185,108170," [(['White alone'], ['591']), (['Hispanic'], ['7']), (['Two or more races'], ['5']), (['Black alone'], ['1']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16870,40.79,-78.05
16,Rebersburg,494,36.4,50334,46.0,54.0,19560,140196," [(['White alone'], ['483']), (['Two or more races'], ['5']), (['Asian alone'], ['3']), (['Black alone'], ['2']), (['American Indian alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16872,40.94,-77.49
17,Sandy Ridge,407,43.3,120587,35.8,64.2,28824,95207," [(['White alone'], ['405']), (['Hispanic'], ['2'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16677,40.79,-78.21
18,Snow Shoe,774,38.9,64154,49.0,51.0,26412,127777," [(['White alone'], ['761']), (['Two or more races'], ['2']), (['Asian alone'], ['1']), (['Hispanic'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16874,41.02,-77.95
19,Spring Mills,268,34.4,55384,53.9,46.1,27452,117756," [(['White alone'], ['266']), (['Two or more races'], ['1']), (['Hispanic'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,16875,40.86,-77.57
20,State College,42100,22.2,35023,54.3,45.7,19736,300326," [(['White alone'], ['32,863']), (['Asian alone'], ['4,724']), (['Hispanic'], ['1,887']), (['Black alone'], ['1,642']), (['Two or more races'], ['909']), (['Other race alone'], ['67']), (['American Indian alone'], ['55']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['35'])]",Centre-County,50.01013,43.290219,6.6996509999999985,16801,40.79,-77.85
21,Unionville,281,39.5,52615,44.7,55.3,26946,136165," [(['White alone'], ['284']), (['Asian alone'], ['2']), (['Two or more races'], ['2']), (['Hispanic'], ['2']), (['Black alone'], ['1'])] ",Centre-County,50.01013,43.290219,6.6996509999999985,19375,39.89,-75.73
22,Abbottstown,1013,36.9,56524,50.1,49.9,22680,152520," [(['White alone'], ['894']), (['Hispanic'], ['95']), (['Asian alone'], ['10']), (['Black alone'], ['7']), (['Two or more races'], ['5'])] ",Adams-County,30.017963,57.774289,12.207748,17301,39.88,-76.98
23,Arendtsville,954,34.1,56018,48.9,51.1,23856,184065," [(['White alone'], ['742']), (['Hispanic'], ['156']), (['Black alone'], ['27']), (['Two or more races'], ['17']), (['American Indian alone'], ['5']), (['Asian alone'], ['5'])] ",Adams-County,30.017963,57.774289,12.207748,17303,39.92,-77.3
24,Aspers,350,36.9,59300,56.2,43.8,28404,206900," [(['White alone'], ['257']), (['Hispanic'], ['89']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['Other race alone'], ['1'])] ",Adams-County,30.017963,57.774289,12.207748,17304,39.97,-77.23
25,Bendersville,641,34.0,55260,47.6,52.4,20723,177479," [(['White alone'], ['486']), (['Hispanic'], ['135']), (['Two or more races'], ['10']), (['American Indian alone'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['3'])] ",Adams-County,30.017963,57.774289,12.207748,17306,39.98,-77.24
26,Biglerville,1202,36.3,48477,49.5,50.5,25095,180453," [(['White alone'], ['953']), (['Hispanic'], ['229']), (['Black alone'], ['8']), (['Two or more races'], ['5']), (['Asian alone'], ['4']), (['American Indian alone'], ['1'])] ",Adams-County,30.017963,57.774289,12.207748,17307,39.93,-77.24
27,Cashtown,459,47.2,59300,44.6,55.4,28404,206900," [(['White alone'], ['428']), (['Hispanic'], ['27']), (['Two or more races'], ['2']), (['Black alone'], ['1']), (['American Indian alone'], ['1'])] ",Adams-County,30.017963,57.774289,12.207748,17310,39.88,-77.34
28,East Berlin,1524,40.6,55376,42.1,57.9,25412,187145," [(['White alone'], ['1,477']), (['Two or more races'], ['26']), (['Black alone'], ['19']), (['Asian alone'], ['10']), (['Hispanic'], ['10']), (['American Indian alone'], ['5'])] ",Adams-County,30.017963,57.774289,12.207748,17316,39.93,-76.97
29,Fairfield,506,52.8,50573,43.6,56.4,26569,191499," [(['White alone'], ['479']), (['Black alone'], ['12']), (['Hispanic'], ['12']), (['Two or more races'], ['3']), (['Asian alone'], ['1'])] ",Adams-County,30.017963,57.774289,12.207748,17320,39.78,-77.36
30,Gettysburg,7633,23.5,37843,47.9,52.1,17877,232709," [(['White alone'], ['6,066']), (['Hispanic'], ['834']), (['Black alone'], ['411']), (['Asian alone'], ['142']), (['Two or more races'], ['143']), (['American Indian alone'], ['13']), (['Other race alone'], ['11'])] ",Adams-County,30.017963,57.774289,12.207748,17325,39.83,-77.23
31,Littlestown,4448,39.0,53171,45.1,54.9,25985,178648," [(['White alone'], ['4,205']), (['Hispanic'], ['110']), (['Two or more races'], ['58']), (['Black alone'], ['36']), (['Asian alone'], ['18']), (['American Indian alone'], ['4']), (['Other race alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Adams-County,30.017963,57.774289,12.207748,17340,39.74,-77.08
32,Midway,2125,50.8,44203,54.9,45.1,25817,164840," [(['White alone'], ['2,022']), (['Hispanic'], ['71']), (['Two or more races'], ['20']), (['Black alone'], ['5']), (['Asian alone'], ['4']), (['American Indian alone'], ['2']), (['Other race alone'], ['1'])] ",Adams-County,30.017963,57.774289,12.207748,15060,40.36,-80.29
33,New Oxford,1786,35.6,38162,50.1,49.9,18845,163459," [(['White alone'], ['1,490']), (['Hispanic'], ['668']), (['Two or more races'], ['67']), (['Black alone'], ['26']), (['Asian alone'], ['28']), (['American Indian alone'], ['9'])] ",Adams-County,30.017963,57.774289,12.207748,17350,39.86,-77.05
34,York Springs,834,31.9,45884,52.5,47.5,18146,131171," [(['White alone'], ['435']), (['Hispanic'], ['384']), (['Two or more races'], ['6']), (['Black alone'], ['4']), (['American Indian alone'], ['2']), (['Asian alone'], ['2'])] ",Adams-County,30.017963,57.774289,12.207748,17372,40.0,-77.11
35,Ackermanville,610,35.5,66438,54.6,45.4,31852,218000," [(['White alone'], ['590']), (['Hispanic'], ['15']), (['Black alone'], ['3']), (['American Indian alone'], ['1']), (['Asian alone'], ['1'])] ",Northampton-County,36.945136,53.478113,9.576751,18010,40.84,-75.17
36,Bangor,5233,34.9,45128,52.4,47.6,20697,157019," [(['White alone'], ['4,855']), (['Hispanic'], ['262']), (['Two or more races'], ['77']), (['Black alone'], ['61']), (['Asian alone'], ['9']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['2']), (['Other race alone'], ['2'])]",Northampton-County,36.945136,53.478113,9.576751,18013,40.86,-75.2
37,Bath,2680,34.6,47355,46.9,53.1,25062,162477," [(['White alone'], ['2,394']), (['Hispanic'], ['177']), (['Black alone'], ['58']), (['Two or more races'], ['34']), (['Asian alone'], ['26']), (['American Indian alone'], ['4'])] ",Northampton-County,36.945136,53.478113,9.576751,18014,40.72,-75.39
38,Bethlehem,76427,35.9,52588,49.1,50.9,26096,167700," [(['White alone'], ['45,462']), (['Hispanic'], ['22,468']), (['Black alone'], ['4,598']), (['Asian alone'], ['2,142']), (['Two or more races'], ['1,764']), (['Other race alone'], ['70']), (['American Indian alone'], ['63'])] ",Northampton-County,36.945136,53.478113,9.576751,18015,40.62,-75.36
39,Cherryville,1580,51.9,66438,53.8,46.2,31852,218000," [(['White alone'], ['1,486']), (['Hispanic'], ['49']), (['Asian alone'], ['24']), (['Black alone'], ['15']), (['Two or more races'], ['6'])] ",Northampton-County,36.945136,53.478113,9.576751,18035,40.73,-75.55
40,Easton,27052,33.7,48025,49.5,50.5,22522,133613," [(['White alone'], ['14,772']), (['Hispanic'], ['6,684']), (['Black alone'], ['3,767']), (['Two or more races'], ['1,310']), (['Asian alone'], ['909']), (['Other race alone'], ['61']), (['American Indian alone'], ['18']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['11'])]",Northampton-County,36.945136,53.478113,9.576751,18040,40.68,-75.22
41,Hellertown,5858,40.3,63425,49.8,50.2,27479,186722," [(['White alone'], ['5,460']), (['Hispanic'], ['266']), (['Black alone'], ['66']), (['Two or more races'], ['58']), (['Asian alone'], ['47']), (['American Indian alone'], ['1'])] ",Northampton-County,36.945136,53.478113,9.576751,18055,40.58,-75.33
42,Martins Creek,631,54.0,66438,51.8,48.2,31852,218000," [(['White alone'], ['611']), (['Two or more races'], ['8']), (['Hispanic'], ['7']), (['Black alone'], ['3']), (['Asian alone'], ['2'])] ",Northampton-County,36.945136,53.478113,9.576751,18063,40.85,-75.19
43,Nazareth,5714,43.3,57359,48.9,51.1,29044,184833," [(['White alone'], ['5,456']), (['Hispanic'], ['158']), (['Black alone'], ['40']), (['Asian alone'], ['42']), (['Two or more races'], ['42']), (['Other race alone'], ['4']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Northampton-County,36.945136,53.478113,9.576751,18064,40.73,-75.31
44,Northampton,9915,40.4,55737,49.6,50.4,27504,174127," [(['White alone'], ['8,334']), (['Hispanic'], ['902']), (['Asian alone'], ['214']), (['Black alone'], ['168']), (['Two or more races'], ['170']), (['American Indian alone'], ['118'])] ",Northampton-County,36.945136,53.478113,9.576751,18067,40.68,-75.48
45,Pen Argyl,3562,37.0,53742,53.6,46.4,23226,149672," [(['White alone'], ['3,352']), (['Hispanic'], ['143']), (['Two or more races'], ['44']), (['Black alone'], ['34']), (['Asian alone'], ['15']), (['American Indian alone'], ['7'])] ",Northampton-County,36.945136,53.478113,9.576751,18072,40.86,-75.25
46,Portland,514,37.4,53598,46.5,53.5,30961,166360," [(['White alone'], ['472']), (['Black alone'], ['18']), (['Hispanic'], ['17']), (['American Indian alone'], ['4']), (['Asian alone'], ['4']), (['Two or more races'], ['4'])] ",Northampton-County,36.945136,53.478113,9.576751,18351,40.91,-75.09
47,Stockertown,921,39.3,95120,45.0,55.0,32368,235528," [(['White alone'], ['887']), (['Hispanic'], ['28']), (['Two or more races'], ['4']), (['Black alone'], ['3']), (['Asian alone'], ['3']), (['American Indian alone'], ['2'])] ",Northampton-County,36.945136,53.478113,9.576751,18083,40.75,-75.26
48,Tatamy,1138,41.4,79669,51.6,48.4,33569,207189," [(['White alone'], ['1,072']), (['Hispanic'], ['52']), (['Black alone'], ['35']), (['Asian alone'], ['27']), (['Two or more races'], ['12']), (['Other race alone'], ['5'])] ",Northampton-County,36.945136,53.478113,9.576751,18085,40.74,-75.25
49,Walnutport,2063,43.5,66680,50.2,49.8,29795,155549," [(['White alone'], ['1,938']), (['Hispanic'], ['68']), (['Two or more races'], ['23']), (['Black alone'], ['19']), (['Asian alone'], ['17']), (['American Indian alone'], ['3']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1']), (['Other race alone'], ['1'])]",Northampton-County,36.945136,53.478113,9.576751,18088,40.75,-75.59
50,Wind Gap,2716,45.5,44437,48.1,51.9,25869,163421," [(['White alone'], ['2,551']), (['Hispanic'], ['87']), (['Two or more races'], ['32']), (['Black alone'], ['24']), (['Asian alone'], ['16']), (['Other race alone'], ['5']), (['American Indian alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Northampton-County,36.945136,53.478113,9.576751,18091,40.84,-75.29
51,Adamstown,1837,33.8,73873,48.9,51.1,30362,209740," [(['White alone'], ['1,633']), (['Asian alone'], ['78']), (['Hispanic'], ['30']), (['Two or more races'], ['27']), (['Black alone'], ['20']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,19501,40.24,-76.06
52,Akron,3978,35.7,60877,50.7,49.3,29237,173004," [(['White alone'], ['3,575']), (['Hispanic'], ['153']), (['Asian alone'], ['59']), (['Black alone'], ['46']), (['Two or more races'], ['35']), (['American Indian alone'], ['5']), (['Other race alone'], ['3'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17501,40.15,-76.2
53,Bainbridge,1355,36.9,61335,48.2,51.8,29740,196400," [(['White alone'], ['1,301']), (['Hispanic'], ['22']), (['Black alone'], ['14']), (['Two or more races'], ['11']), (['American Indian alone'], ['3']), (['Asian alone'], ['3']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17502,40.09,-76.67
54,Blue Ball,1031,31.4,61335,48.5,51.5,29740,196400," [(['White alone'], ['961']), (['Asian alone'], ['32']), (['Hispanic'], ['15']), (['Two or more races'], ['12']), (['Black alone'], ['6']), (['American Indian alone'], ['5'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17506,40.12,-76.03
55,Bowmansville,2077,38.2,61335,50.4,49.6,29740,196400," [(['White alone'], ['1,988']), (['Hispanic'], ['39']), (['Asian alone'], ['20']), (['Two or more races'], ['13']), (['Black alone'], ['11']), (['American Indian alone'], ['4']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['2'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17507,40.21,-76.05
56,Christiana,1170,41.7,57810,43.1,56.9,25012,172902," [(['White alone'], ['990']), (['Hispanic'], ['79']), (['Black alone'], ['67']), (['Two or more races'], ['25']), (['Asian alone'], ['4']), (['American Indian alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17509,39.95,-75.99
57,Columbia,10383,36.8,41028,48.8,51.2,21876,104767," [(['White alone'], ['8,662']), (['Hispanic'], ['938']), (['Black alone'], ['471']), (['Two or more races'], ['245']), (['Asian alone'], ['60']), (['American Indian alone'], ['19']), (['Other race alone'], ['5'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17512,40.03,-76.49
58,Conestoga,1258,42.1,61335,47.7,52.3,29740,196400," [(['White alone'], ['1,207']), (['Hispanic'], ['21']), (['Asian alone'], ['15']), (['Two or more races'], ['9']), (['Black alone'], ['4']), (['Other race alone'], ['2'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17516,39.93,-76.36
59,Denver,3869,40.4,58674,49.0,51.0,28661,166848," [(['White alone'], ['3,576']), (['Hispanic'], ['222']), (['Black alone'], ['27']), (['Two or more races'], ['29']), (['American Indian alone'], ['6']), (['Asian alone'], ['6'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17517,40.23,-76.13
60,East Earl,1144,37.0,61335,48.2,51.8,29740,196400," [(['White alone'], ['1,083']), (['Hispanic'], ['32']), (['Asian alone'], ['15']), (['Black alone'], ['8']), (['Two or more races'], ['4']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17519,40.14,-76.02
61,East Petersburg,4518,43.5,79000,49.6,50.4,33438,168182," [(['White alone'], ['3,908']), (['Hispanic'], ['309']), (['Black alone'], ['130']), (['Two or more races'], ['92']), (['Asian alone'], ['54']), (['American Indian alone'], ['7']), (['Other race alone'], ['6'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17520,40.1,-76.35
62,Elizabethtown,11611,32.9,59025,47.1,52.9,26159,166437," [(['White alone'], ['10,734']), (['Hispanic'], ['381']), (['Black alone'], ['133']), (['Two or more races'], ['135']), (['Asian alone'], ['132']), (['American Indian alone'], ['17']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['7']), (['Other race alone'], ['6'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17022,40.15,-76.59
63,Ephrata,13837,37.1,52085,50.8,49.2,26874,159049," [(['White alone'], ['12,546']), (['Hispanic'], ['544']), (['Black alone'], ['292']), (['Two or more races'], ['258']), (['Asian alone'], ['85']), (['American Indian alone'], ['20']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['15'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17522,40.18,-76.18
64,Gap,1931,36.7,76163,49.6,50.4,29671,265048," [(['White alone'], ['1,800']), (['Hispanic'], ['49']), (['Asian alone'], ['31']), (['Two or more races'], ['25']), (['Black alone'], ['24']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17527,39.98,-76.02
65,Goodville,482,19.5,61335,51.2,48.8,29740,196400," [(['White alone'], ['453']), (['Hispanic'], ['14']), (['Black alone'], ['7']), (['Asian alone'], ['3']), (['Other race alone'], ['3']), (['Two or more races'], ['2'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17528,39.89,-76.32
66,Gordonville,508,58.5,61335,45.1,54.9,29740,196400," [(['White alone'], ['482']), (['Black alone'], ['11']), (['Hispanic'], ['10']), (['Two or more races'], ['5'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17529,40.04,-76.1
67,Hopeland,738,46.0,61335,45.4,54.6,29740,196400," [(['White alone'], ['698']), (['Hispanic'], ['13']), (['Asian alone'], ['10']), (['Two or more races'], ['10']), (['Black alone'], ['7'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17533,40.2,-76.2
68,Intercourse,1274,35.0,61335,51.6,48.4,29740,196400," [(['White alone'], ['1,231']), (['Hispanic'], ['20']), (['Asian alone'], ['15']), (['Black alone'], ['5']), (['Two or more races'], ['2']), (['Other race alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17534,40.06,-76.14
69,Kirkwood,396,28.1,61335,53.2,46.8,29740,196400," [(['White alone'], ['377']), (['Hispanic'], ['17']), (['American Indian alone'], ['1']), (['Native Hawaiian and Other >, 'Pacific Islander alone'], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17536,39.82,-76.09
70,Lampeter,1669,36.7,61335,53.7,46.3,29740,196400," [(['White alone'], ['1,499']), (['Hispanic'], ['99']), (['Black alone'], ['24']), (['Asian alone'], ['24']), (['Two or more races'], ['21']), (['American Indian alone'], ['1']), (['Other race alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17537,40.01,-76.24
71,Lancaster,59302,30.8,37516,50.0,50.0,18803,112155," [(['White alone'], ['24,179']), (['Hispanic'], ['24,157']), (['Black alone'], ['8,508']), (['Asian alone'], ['2,287']), (['Two or more races'], ['2,013']), (['Other race alone'], ['73']), (['American Indian alone'], ['9'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17601,40.04,-76.3
72,Landisville,1893,46.8,61335,49.7,50.3,29740,196400," [(['White alone'], ['1,731']), (['Hispanic'], ['83']), (['Asian alone'], ['39']), (['Black alone'], ['25']), (['Two or more races'], ['10']), (['American Indian alone'], ['3']), (['Other race alone'], ['2'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17538,40.09,-76.41
73,Lititz,9397,44.6,55852,43.5,56.5,33051,190141," [(['White alone'], ['8,549']), (['Hispanic'], ['322']), (['Asian alone'], ['188']), (['Two or more races'], ['93']), (['Black alone'], ['83']), (['American Indian alone'], ['4'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17543,40.15,-76.3
74,Manheim,4869,37.7,48918,45.6,54.4,23694,151045," [(['White alone'], ['4,520']), (['Hispanic'], ['165']), (['Two or more races'], ['81']), (['Asian alone'], ['54']), (['Black alone'], ['38'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17545,40.16,-76.39
75,Marietta,2604,38.2,52389,45.6,54.4,26459,130625," [(['White alone'], ['2,377']), (['Hispanic'], ['114']), (['Black alone'], ['52']), (['Two or more races'], ['33']), (['Asian alone'], ['6']), (['American Indian alone'], ['3']), (['Other race alone'], ['2']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17547,40.05,-76.55
76,Maytown,3824,32.4,85124,52.7,47.3,27137,185728," [(['White alone'], ['3,509']), (['Hispanic'], ['143']), (['Two or more races'], ['74']), (['Black alone'], ['64']), (['Asian alone'], ['25']), (['American Indian alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['4'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17550,40.07,-76.58
77,Millersville,8482,22.2,42923,46.5,53.5,20651,161922," [(['White alone'], ['7,227']), (['Black alone'], ['385']), (['Hispanic'], ['351']), (['Asian alone'], ['98']), (['Two or more races'], ['86']), (['American Indian alone'], ['13']), (['Other race alone'], ['5']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['3'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17551,40.0,-76.35
78,Mount Joy,8008,36.2,58214,48.5,51.5,29344,162230," [(['White alone'], ['6,508']), (['Hispanic'], ['549']), (['Black alone'], ['159']), (['Two or more races'], ['126']), (['Asian alone'], ['55']), (['American Indian alone'], ['12']), (['Other race alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17552,40.11,-76.5
79,Mountville,2849,38.1,50045,44.2,55.8,27531,169413," [(['White alone'], ['2,449']), (['Hispanic'], ['145']), (['Black alone'], ['100']), (['Asian alone'], ['62']), (['Two or more races'], ['41']), (['American Indian alone'], ['4']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17554,40.04,-76.43
80,New Holland,5420,42.5,55159,44.1,55.9,27026,203583," [(['White alone'], ['4,162']), (['Hispanic'], ['534']), (['Black alone'], ['330']), (['Two or more races'], ['309']), (['Asian alone'], ['176']), (['American Indian alone'], ['5'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17557,40.1,-76.09
81,Paradise,1129,30.4,66499,52.3,47.7,39912,226158," [(['White alone'], ['1,029']), (['Hispanic'], ['57']), (['Two or more races'], ['23']), (['Black alone'], ['14']), (['Other race alone'], ['4']), (['Asian alone'], ['2'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17562,40.0,-76.12
82,Penryn,1024,48.2,61335,55.0,45.0,29740,196400," [(['White alone'], ['984']), (['Hispanic'], ['19']), (['Other race alone'], ['10']), (['Black alone'], ['4']), (['Asian alone'], ['4']), (['Two or more races'], ['2']), (['American Indian alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17564,40.16,-76.42
83,Quarryville,2678,31.9,58889,47.6,52.4,26377,187781," [(['White alone'], ['2,367']), (['Hispanic'], ['121']), (['Two or more races'], ['36']), (['Black alone'], ['28']), (['Asian alone'], ['16']), (['Other race alone'], ['5']), (['American Indian alone'], ['3'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17566,39.89,-76.16
84,Reamstown,3361,50.3,73461,49.0,51.0,29447,193424," [(['White alone'], ['3,182']), (['Asian alone'], ['68']), (['Hispanic'], ['64']), (['Black alone'], ['20']), (['Two or more races'], ['20']), (['American Indian alone'], ['6']), (['Native Hawaiian and Other Pacific Islander alone</br>], ['1'])]",Lancaster-County,32.703154999999995,51.897731,15.399115,17567,40.21,-76.11
85,Refton,298,49.9,61335,50.7,49.3,29740,196400," [(['White alone'], ['293']), (['Hispanic'], ['4']), (['Asian alone'], ['1'])] ",Lancaster-County,32.703154999999995,51.897731,15.399115,17568,40.01,-76.24
